,predictions,file_names
0,Alauda arvensis,15270-6.wav
1,Carduelis carduelis,18483-0.wav
2,Sturnus vulgaris,18484-3.wav
3,Delichon urbicum,12996-11.wav
4,Turdus merula,13610-15.wav
5,Motacilla alba,14442-8.wav
6,Phylloscopus trochilus,14213-7.wav
7,Luscinia luscinia,18125-7.wav
8,Erithacus rubecula,14518-11.wav
9,Apus apus,13164-0.wav
10,Apus apus,13164-6.wav
11,Motacilla alba,14442-9.wav
12,Luscinia luscinia,18125-2.wav
13,Turdus pilaris,14172-2.wav
14,Passer montanus,14212-6.wav
15,Troglodytes troglodytes,18388-1.wav
16,Turdus philomelos,18344-2.wav
17,Phylloscopus trochilus,14213-3.wav
18,Parus caeruleus,15269-9.wav
19,Alauda arvensis,15270-7.wav
20,Phoenicurus ochruros,13609-9.wav
21,Pica pica,18387-2.wav
22,Phylloscopus trochilus,14213-2.wav
23,Erithacus rubecula,14518-0.wav
24,Chloris chloris,11846-0.wav
25,Corvus monedula,13608-6.wav
26,Chloris chloris,11846-6.wav
27,Corvus frugilegus,12577-3.wav
28,Passer montanus,14212-5.wav
29,Columba palumbus,12876-8.wav
30,Turdus philomelos,18344-11.wav
31,Corvus monedula,13608-9.wav
32,Emberiza citrinella,20420-3.wav
33,Chloris chloris,11846-4.wav
34,Parus major,15245-9.wav
35,Corvus monedula,13608-2.wav
36,Corvus monedula,13608-8.wav
37,Phoenicurus ochruros,13609-10.wav
38,Emberiza citrinella,20420-7.wav
39,Garrulus glandarius,18247-10.wav
40,Corvus frugilegus,12577-9.wav
41,Parus caeruleus,15269-10.wav
42,Chloris chloris,11846-13.wav
43,Dendrocopos major,11713-10.wav
44,Coccothraustes coccothraustes,12578-2.wav
45,Phoenicurus phoenicurus,14426-10.wav
46,Coccothraustes coccothraustes,12578-8.wav
47,Corvus monedula,13608-4.wav
48,Dendrocopos major,11713-15.wav
49,Sitta europaea,13602-14.wav
50,Phylloscopus collybita,14231-8.wav
51,Apus apus,13164-10.wav
52,Passer montanus,14212-13.wav
53,Columba palumbus,12876-15.wav
54,Turdus merula,13610-0.wav
55,Sturnus vulgaris,18484-6.wav
56,Carduelis carduelis,18483-13.wav
57,Turdus pilaris,14172-9.wav
58,Sitta europaea,13602-13.wav
59,Pica pica,18387-5.wav
60,Corvus monedula,13608-0.wav
61,Sturnus vulgaris,18388-3.wav
62,Phylloscopus trochilus,14213-15.wav
63,Delichon urbicum,12996-9.wav
64,Phoenicurus phoenicurus,14426-5.wav
65,Sturnus vulgaris,18484-7.wav
66,Delichon urbicum,12996-7.wav
67,Turdus philomelos,18344-1.wav
68,Motacilla alba,14442-2.wav
69,Chloris chloris,11846-3.wav
70,Dendrocopos major,11713-5.wav
71,Columba palumbus,12876-2.wav
72,Turdus philomelos,18344-4.wav
73,Streptopelia decaocto,14844-5.wav
74,Sitta europaea,13602-12.wav
75,Delichon urbicum,12996-1.wav
76,Streptopelia decaocto,14844-10.wav
77,Phoenicurus ochruros,13609-11.wav
78,Emberiza citrinella,20420-11.wav
79,Parus major,15245-0.wav
80,Sitta europaea,18125-6.wav
81,Troglodytes troglodytes,18388-5.wav
82,Emberiza citrinella,20420-10.wav
83,Garrulus glandarius,18247-1.wav
84,Phoenicurus phoenicurus,14426-1.wav
85,Sturnus vulgaris,18387-3.wav
86,Corvus monedula,13608-11.wav
87,Corvus frugilegus,12577-4.wav
88,Phylloscopus trochilus,14213-1.wav
89,Corvus monedula,13608-1.wav
90,Alauda arvensis,15270-3.wav
91,Phoenicurus phoenicurus,14426-14.wav
92,Turdus philomelos,18344-0.wav
93,Turdus pilaris,14172-6.wav
94,Turdus pilaris,14172-3.wav
95,Parus caeruleus,15269-6.wav
96,Turdus philomelos,18344-12.wav
97,Corvus frugilegus,12577-2.wav
98,Alauda arvensis,15270-5.wav
99,Passer montanus,14212-2.wav
100,Coccothraustes coccothraustes,12578-0.wav
101,Turdus merula,13610-1.wav
102,Sturnus vulgaris,18484-9.wav
103,Coccothraustes coccothraustes,12578-1.wav
104,Parus caeruleus,15269-8.wav
105,Phylloscopus trochilus,14213-12.wav
106,Luscinia luscinia,18125-8.wav
107,Phylloscopus collybita,14231-1.wav
108,Chloris chloris,11846-10.wav
109,Luscinia luscinia,18125-1.wav
110,Phylloscopus collybita,14231-4.wav
111,Emberiza citrinella,20420-5.wav
112,Apus apus,13164-7.wav
113,Turdus philomelos,18344-7.wav
114,Turdus philomelos,18344-10.wav
115,Turdus philomelos,18344-14.wav
116,Columba palumbus,12876-13.wav
117,Pica pica,18388-0.wav
118,Carduelis carduelis,18483-12.wav
119,Motacilla alba,14442-0.wav
120,Apus apus,13164-9.wav
121,Phoenicurus phoenicurus,14426-4.wav
122,Pica pica,18387-8.wav
